"","code","avg_index_2019","num_lib_2019","avg_revenue_2019","avg_expenses_2019","std_avg_index_2019","avg_index_2021","num_lib_2021","avg_revenue_2021","avg_expenses_2021","std_avg_index_2021"
"1",500,100839.243606481,18,1657114.94444444,1764183.61111111,-0.436387022462632,56854.1171342593,18,1736183.94444444,1451252.38888889,-0.495507829490534
"2",501,70229.7222342209,169,2743335.56804734,2456250.67455621,-0.476801459442309,51517.4099857002,169,2678089.75147929,2422553.49704142,-0.505446422285312
"3",504,107872.426412879,66,1142277.48484848,1149014.86363636,-0.427100953600631,87764.6452384615,65,1142329.41538462,1011708.18461538,-0.437942903526376
"4",505,133444.616497653,71,2071720.98591549,1981644.11267606,-0.393337417998602,95085.1949607143,70,2245269.41428571,2137802.64285714,-0.424309784695219
"5",507,291403.525,1,4597899,5104400,-0.184780731488897,270889.675,1,5191204,4810567,-0.0969076826181291
"6",508,21692.7053416667,20,308233.85,323222.6,-0.540885970484789,16788.9790958333,20,317913.2,370095.7,-0.570121459421115
"7",511,2426943.23055556,3,25025832.6666667,25417389,2.63482019588748,2117947.44722222,3,24423142,25037045.3333333,3.34288291400516
"8",516,50774.307015625,16,594998.5,733553,-0.50248888012109,44210.1990364583,16,632069.3125,612031.25,-0.519054700211835
"9",517,954541.68625,4,14878130,14516926,0.69077544270677,777246.878125,4,21109750.5,15736887,0.846085423518612
"10",518,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"11",524,454036.835194444,4,4680931,4764216.66666667,0.0299476723209736,406423.8,4,5993457.66666667,4901321,0.155498612251393
"12",527,329399.867452381,7,4348260,3443130.85714286,-0.134613309109937,239459.359130952,7,4069738,5912206.85714286,-0.155440613531912
"13",530,NA,2,NA,NA,NA,NA,2,NA,NA,NA
"14",534,659455.966576923,13,9355436.61538462,8871438.46153846,0.301167154609273,565214.052625,12,11156097.9166667,10173449.5833333,0.451214981294774
"15",540,15071.7526666667,7,323261.857142857,286912.285714286,-0.549627762666868,12564.752452381,7,363635.428571429,308849.142857143,-0.577988270792516
"16",543,464943.65,3,6444173,6277153.33333333,0.0443481843135458,343602.634722222,3,8088900.66666667,6884596,0.0385062491314057
"17",544,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"18",545,105399.929166667,2,1535968,1613133,-0.430365447119632,99247.25,2,2046183.5,4532300,-0.416558756004038
"19",548,322048.534377778,15,6658066.6,5508712.93333333,-0.144319438900304,277540.173788889,15,7463205.66666667,5719673.13333333,-0.0845224050480877
"20",550,87905.1166666667,1,867337,863527,-0.453464240094986,82764.475,1,896859,893401,-0.447254760917324
"21",553,30921.8875,2,340196,376814.5,-0.528700474469489,17764.2625,2,319510,341755.5,-0.568305181266123
"22",556,613879.506944444,3,7995997,7853101.33333333,0.240991533658766,789640.919444444,3,8103469.33333333,7818840.33333333,0.86916694669885
"23",560,312647.7375,2,5529972,5507497.5,-0.156731521675306,184157.905555556,3,3935754,3673990.33333333,-0.258428956857734
"24",561,798200.659722222,3,16350460.3333333,15624472.6666667,0.484354882022313,637709.631944444,3,15989537.6666667,14809373.6666667,0.586224083765761
"25",563,115629.513899123,19,1759477.52631579,1717797.84210526,-0.416859097168249,88838.6658245614,19,1941959.05263158,1785339.89473684,-0.435942746320572
"26",566,88890.3665362319,23,1015701.43478261,886485.52173913,-0.452163392614278,63483.6202261905,21,912397.142857143,1115150.04761905,-0.483161652376391
"27",567,168090.6125,2,2527052,2376697,-0.347593533113688,105788.095833333,2,2682306,2249262.5,-0.404377686018125
"28",569,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"29",571,740422.491666667,4,12608014.5,14646004,0.408069072019464,649384.139583333,4,13828600,11360172.75,0.607965613565417
"30",573,330579.791666667,2,8812358.5,6338867.5,-0.133055428729545,263955.25,2,4967021,4617736.5,-0.109821718262662
"31",575,111618.55875,4,2360675,2264700.5,-0.422154851130917,83633.30625,4,2257917.25,2092548.75,-0.445636729468201
"32",576,168463.625,1,3014798,2628472,-0.347101036351306,87575.816,1,3177653,2497851,-0.438294561741184
"33",577,35719.7134722222,6,828547.5,968155,-0.522365797326528,21278.7685138889,6,858049.833333333,861365.666666667,-0.56176008835124
"34",584,954541.68625,4,14878130,14516926,0.69077544270677,777246.878125,4,21109750.5,15736887,0.846085423518612
"35",588,53399.7378541667,20,1109609.8,986564.55,-0.499022464953132,43280.1151125,20,1198289.3,1086934.85,-0.520786803010034
"36",592,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"37",609,446487.031453125,16,6261349.5,7202681.875,0.0199794972619217,341339.794911765,17,6523005,5737567.23529412,0.0342921442892427
"38",612,22297.3013888889,3,413959.333333333,386750.333333333,-0.540087708775582,9211.95013888889,3,442899.333333333,361877,-0.584232221601056
"39",616,1102416.76516667,4,15339514,15110093,0.886018223051525,1582513.61372222,4,16797348.3333333,15397511,2.34574016444655
"40",617,55195.1633333333,45,764161.222222222,732451.955555556,-0.496651924460289,50185.0353806818,44,1017491.45454545,851312.659090909,-0.507927714265696
"41",618,602452.555083333,17,7135637.29411765,7248691.05882353,0.22590427305628,1251865.98635784,17,8612820.4117647,8245527.11764706,1.72997241938278
"42",619,464943.65,3,6444173,6277153.33333333,0.0443481843135458,343602.634722222,3,8088900.66666667,6884596,0.0385062491314057
"43",623,166887.055263211,82,2159453.51219512,2322846.3902439,-0.34918261670327,152271.540207806,80,2239646.86075949,2207945.29113924,-0.317811192396433
"44",624,16243.9148402778,12,459208.916666667,510670.083333333,-0.548080130682713,13701.0597430556,12,396060.166666667,350316.083333333,-0.575872116554073
"45",631,9637.5184,5,225355.2,233631.2,-0.556802703941906,6448.31261666667,5,208024.8,211319.4,-0.589378966063725
"46",635,226241.781388889,21,3536006.80952381,3615086,-0.270815241752218,144978.913011364,22,3680503.77272727,3532422.72727273,-0.331392310882413
"47",640,217845.511333333,5,5516027.6,5285954,-0.281901025253953,177590.459333333,5,6078603.4,5732532.6,-0.270659564962563
"48",641,400797.0050625,8,6170862.25,6138778.625,-0.0403460684242208,268171.811364583,8,6830108,6708553.875,-0.101969182001964
"49",650,812038.842361111,3,13274671,12990032.6666667,0.502625744652641,625380.108333333,3,14934523.6666667,15014877.3333333,0.563262712434468
"50",656,49367.2,2,1348112.5,1344865,-0.504346715044905,31746.4416666667,2,1617585,1288035.5,-0.542266056155305
"51",658,85174.5004166667,3,1232533.66666667,1162892.33333333,-0.457069533918735,57499.18125,3,1253373.66666667,1194105.33333333,-0.494306521381544
"52",659,79044.3345,3,584662.333333333,578878.333333333,-0.465163329346017,64588.81175,3,557355.333333333,558228.333333333,-0.481103445281713
"53",678,69736.785202381,14,1012714.71428571,973506.071428571,-0.477452295251401,53771.5932678571,14,1111454.78571429,1004933.57142857,-0.501248438565669
"54",679,45387.2354791667,40,1083301.2,1085302,-0.509601551386591,31559.6433083333,40,1156060.825,942963.275,-0.54261393224566
"55",686,209419.1498125,4,3333800.5,3301847.75,-0.293026539191597,163641.675472222,3,4838446,4193908.33333333,-0.296636497726314
"56",693,193189.75,1,3161301,2449489,-0.314454579439709,118050.825,1,3733580,2662160,-0.381540706519812
"57",717,13465.1407333333,5,249984.4,244878,-0.551749008404128,6699.31828333333,5,273882.8,231728,-0.588911516184851
"58",718,127311.83225,1,2519562,2522724,-0.401434670466957,96884.144,1,2445769,2345254,-0.420959587380224
"59",725,16243.9148402778,12,459208.916666667,510670.083333333,-0.548080130682713,13701.0597430556,12,396060.166666667,350316.083333333,-0.575872116554073
"60",743,NA,1,NA,NA,NA,NA,1,NA,NA,NA
"61",752,1699943.350875,2,16935968,17253462.5,1.67494596380592,1145421.22095833,2,18647593,18115605,1.53173947367449
"62",756,135551.333333333,1,1693155,1689087,-0.390555872552197,134947.975,1,1605636,1608041,-0.350073007699648
"63",765,3533079.0375,2,4618832.5,5428030.5,4.09527608858342,90474.53625,2,2868829,3936028,-0.432896251624335
"64",767,279915.975,1,2746072,2757988,-0.199948001172068,263279.45,1,3469392,3254879,-0.111080266056975
"65",770,453642.236398551,23,5438161.91304348,4940937.13043478,0.0294266746884085,371547.55573913,23,6567709.95652174,5856610.08695652,0.0905483010817853
"66",773,115629.513899123,19,1759477.52631579,1717797.84210526,-0.416859097168249,88838.6658245614,19,1941959.05263158,1785339.89473684,-0.435942746320572
"67",803,541862.518020833,36,14964203.8611111,14248935.6388889,0.14590588939394,450970.130465278,36,14774501.0555556,13705136.4722222,0.238457603005744
"68",810,49513.61575,3,934180.666666667,876832.666666667,-0.50415339904923,32970.8231944444,3,1129955,1050299.33333333,-0.539985880554267
"69",819,4347048.58019445,3,77132791,75569769,5.16997831559742,3223347.11375,3,76365343,68976849.6666667,5.40147763454718
"70",820,100839.243606481,18,1657114.94444444,1764183.61111111,-0.436387022462632,56854.1171342593,18,1736183.94444444,1451252.38888889,-0.495507829490534
"71",NA,230200.059778169,106,3938961.5915493,3899454.01408451,-0.265589038095975,167276.588928571,105,4225801.3,4154528.18571429,-0.289867169059542
